Date;Specific Humidity;Relative Humidity;Temperature;Precipitation
1.6.2004;19.23;81.31;11.2;376.96
1.7.2004;19.35;87.25;6.24;663.26
1.8.2004;18.98;90.62;5.7;949.59
1.9.2004;18.86;87.0;10.34;225.06
1.10.2004;15.2;76.69;14.52;27.3
1.11.2004;13.06;66.5;16.66;4.29
1.12.2004;9.34;54.44;18.29;0.01
1.1.2005;8.0;49.5;22.85;3.47
1.2.2005;8.54;46.69;26.7;0.0
1.3.2005;10.19;48.5;24.38;0.41
1.4.2005;11.96;48.5;23.25;13.56
1.5.2005;15.87;59.81;18.37;15.65
1.6.2005;19.17;76.12;12.55;799.32
1.7.2005;20.14;91.12;4.91;1095.38
1.8.2005;19.17;90.19;6.21;432.24
1.9.2005;19.47;92.06;9.0;776.41
1.10.2005;15.62;76.81;16.19;75.44
1.11.2005;11.54;66.81;17.23;0.0
1.12.2005;9.46;58.5;19.3;0.0
1.1.2006;8.24;49.38;23.38;0.0
1.2.2006;7.87;38.5;24.25;0.0
1.3.2006;10.38;48.25;23.8;9.61
1.4.2006;13.37;56.88;19.78;0.01
1.5.2006;16.66;63.94;16.48;187.67
1.6.2006;19.59;81.62;8.96;441.71
1.7.2006;19.41;91.12;4.73;1122.56
1.8.2006;18.86;91.56;5.13;1052.65
1.9.2006;19.29;90.44;8.38;389.08
1.10.2006;17.03;79.38;14.12;142.46
1.11.2006;14.34;74.56;13.64;24.05
1.12.2006;10.86;62.12;17.57;0.35
1.1.2007;8.85;51.56;22.68;0.03
1.2.2007;10.01;53.69;20.73;0.35
1.3.2007;9.34;42.44;25.3;0.0
1.4.2007;12.94;50.88;23.7;8.47
1.5.2007;16.24;60.12;15.14;5.13
1.6.2007;20.08;81.25;10.63;902.25
1.7.2007;20.02;89.75;6.21;706.04
1.8.2007;19.59;90.81;6.16;609.34
1.9.2007;19.47;89.62;8.16;449.85
1.10.2007;14.65;73.5;14.66;5.6
1.11.2007;12.82;67.94;18.42;7.12
1.12.2007;10.68;60.69;20.99;0.0
1.1.2008;7.45;47.12;23.96;0.0
1.2.2008;6.65;39.25;29.28;0.03
1.3.2008;10.01;44.62;22.02;6.91
1.4.2008;12.82;51.94;21.89;0.21
1.5.2008;16.17;61.44;15.66;3.31
1.6.2008;19.59;84.12;12.2;708.11
1.7.2008;19.53;89.38;5.33;627.03
1.8.2008;18.98;90.31;6.88;698.05
1.9.2008;18.8;88.88;10.93;513.22
1.10.2008;15.5;75.06;16.25;36.19
1.11.2008;13.0;67.69;17.81;2.71
1.12.2008;10.8;58.06;20.38;6.76
1.1.2009;9.09;50.12;24.01;0.0
1.2.2009;7.69;39.81;25.62;0.0
1.3.2009;9.7;42.19;23.08;3.2
1.4.2009;12.27;47.75;22.87;0.54
1.5.2009;15.81;58.56;16.99;2.06
1.6.2009;18.55;73.06;11.15;221.99
1.7.2009;19.84;90.44;5.26;1052.5
1.8.2009;19.41;89.44;6.26;403.09
1.9.2009;19.41;88.69;9.84;277.45
1.10.2009;15.87;75.62;15.39;206.96
1.11.2009;14.22;75.12;16.66;109.36
1.12.2009;11.6;67.12;18.44;0.08
1.1.2010;9.83;56.94;20.45;0.35
1.2.2010;9.16;50.5;23.31;0.01
1.3.2010;10.62;47.12;23.78;6.02
1.4.2010;13.79;53.25;21.23;0.49
1.5.2010;17.09;59.88;15.62;11.74
1.6.2010;20.57;84.19;10.43;662.62
1.7.2010;20.39;91.5;6.21;1068.2
1.8.2010;19.78;91.06;6.07;872.43
1.9.2010;19.41;88.75;9.36;248.55
1.10.2010;17.88;81.88;13.84;195.25
1.11.2010;17.03;82.31;13.91;65.66
1.12.2010;11.23;70.69;19.12;0.0
1.1.2011;8.85;56.69;22.66;0.0
1.2.2011;9.03;51.19;22.02;0.16
1.3.2011;8.73;39.44;23.73;0.05
1.4.2011;13.55;55.12;20.6;6.9
1.5.2011;16.17;60.94;15.72;2.1
1.6.2011;19.78;82.5;11.82;350.5
1.7.2011;19.71;90.06;7.24;1093.05
1.8.2011;19.53;91.38;6.05;629.81
1.9.2011;18.74;88.56;8.3;348.67
1.10.2011;17.03;79.06;14.62;166.83
1.11.2011;13.0;66.69;16.54;0.42
1.12.2011;10.07;58.62;20.41;0.0
1.1.2012;8.18;54.44;21.98;0.0
1.2.2012;6.47;35.88;29.15;0.0
1.3.2012;7.51;37.5;27.43;0.0
1.4.2012;13.06;53.44;20.14;2.45
1.5.2012;15.75;61.19;15.54;1.83
1.6.2012;18.68;74.69;13.49;238.62
1.7.2012;19.84;88.75;6.79;583.05
1.8.2012;19.41;90.31;5.54;385.66
1.9.2012;18.86;89.06;10.54;408.01
1.10.2012;16.78;78.44;14.91;204.61
1.11.2012;12.45;67.31;17.12;0.34
1.12.2012;10.99;63.0;17.77;0.0
1.1.2013;8.54;53.44;22.33;0.0
1.2.2013;9.52;49.81;23.1;6.72
1.3.2013;9.46;43.0;22.1;0.79
1.4.2013;13.24;55.75;20.92;0.01
1.5.2013;16.36;60.31;17.23;0.42
1.6.2013;19.96;86.5;10.9;932.22
1.7.2013;19.47;91.69;4.83;886.67
1.8.2013;18.8;89.81;5.59;233.98
1.9.2013;18.98;88.62;8.92;314.67
1.10.2013;17.4;81.94;14.21;88.57
1.11.2013;13.49;71.12;16.74;4.21
1.12.2013;10.19;60.88;17.84;2.19
1.1.2014;9.52;56.69;22.52;0.75
1.2.2014;8.91;48.56;22.5;0.43
1.3.2014;10.01;45.31;26.31;3.95
1.4.2014;12.21;48.88;22.52;2.1
1.5.2014;15.38;56.56;17.28;12.83
1.6.2014;18.31;68.06;13.32;75.97
1.7.2014;19.65;86.69;9.27;1307.43
1.8.2014;19.41;90.44;7.85;631.78
1.9.2014;18.49;86.88;10.76;262.4
1.10.2014;16.36;75.31;14.91;28.7
1.11.2014;13.12;66.94;16.23;19.39
1.12.2014;9.34;54.5;21.85;18.77
1.1.2015;8.67;53.25;21.37;0.85
1.2.2015;8.24;43.69;22.51;11.77
1.3.2015;10.8;50.25;29.34;40.27
1.4.2015;13.79;56.38;21.41;1.82
1.5.2015;16.72;61.25;16.24;33.98
1.6.2015;19.35;80.62;12.81;804.68
1.7.2015;19.41;86.62;6.74;281.76
1.8.2015;19.04;87.44;7.28;122.29
1.9.2015;18.31;84.44;13.56;307.96
1.10.2015;17.15;75.81;14.72;72.07
1.11.2015;13.85;69.44;15.36;29.46
1.12.2015;9.46;52.5;22.91;0.0
1.1.2016;7.57;45.5;24.46;0.38
1.2.2016;9.52;50.56;23.57;20.79
1.3.2016;10.8;47.94;23.17;3.13
1.4.2016;13.37;53.75;19.66;1.68
1.5.2016;17.03;61.38;16.02;9.39
1.6.2016;19.41;77.31;13.92;535.52
1.7.2016;19.71;91.19;5.2;1009.4
1.8.2016;19.17;90.75;5.83;684.2
1.9.2016;18.62;90.0;8.02;606.37
1.10.2016;15.56;78.81;15.45;100.44
1.11.2016;10.5;61.06;18.4;0.09
1.12.2016;9.28;53.94;20.38;0.03
1.1.2017;8.0;48.62;23.98;0.0
1.2.2017;7.45;37.75;24.93;0.13
1.3.2017;10.07;47.0;27.39;1.85
1.4.2017;12.63;53.12;23.02;0.18
1.5.2017;16.17;59.12;16.91;13.69
1.6.2017;20.08;82.31;12.02;600.76
1.7.2017;19.84;89.94;5.37;1012.11
1.8.2017;19.29;89.94;6.88;665.17
1.9.2017;19.47;88.38;10.27;472.09
1.10.2017;16.85;77.19;15.91;135.57
1.11.2017;11.96;67.12;15.95;0.94
1.12.2017;11.11;66.62;16.84;47.28
1.1.2018;9.03;54.31;21.09;2.07
1.2.2018;8.48;44.69;24.09;6.42
1.3.2018;9.64;42.81;23.45;1.48
1.4.2018;12.88;51.31;20.49;1.03
1.5.2018;16.05;59.19;16.92;5.22
1.6.2018;20.02;81.81;13.05;540.89
1.7.2018;19.71;91.0;5.98;969.61
1.8.2018;18.8;89.94;5.61;423.43
1.9.2018;17.88;85.44;12.2;99.12
1.10.2018;15.2;69.38;17.13;21.6
1.11.2018;11.84;58.75;17.18;6.6
1.12.2018;7.93;46.25;21.98;0.19
1.1.2019;5.74;34.69;23.41;0.28
1.2.2019;7.45;40.44;27.1;0.27
1.3.2019;9.16;44.19;26.17;0.66
1.4.2019;13.06;52.88;24.02;3.68
1.5.2019;15.26;58.19;18.42;0.43
1.6.2019;19.04;73.56;13.71;454.13
1.7.2019;20.45;90.81;6.38;1083.3
1.8.2019;19.59;90.75;6.16;666.94
1.9.2019;19.78;91.38;6.7;928.89
1.10.2019;18.13;84.44;11.93;192.61
1.11.2019;15.62;78.5;13.65;53.27
1.12.2019;14.1;76.81;17.22;2.85
1.1.2020;10.62;67.56;22.98;0.17
1.2.2020;9.28;49.88;24.97;0.19
1.3.2020;10.5;49.38;24.87;4.09
1.4.2020;13.31;51.19;22.09;5.46
1.5.2020;16.17;57.25;16.63;8.29
1.6.2020;19.78;83.0;11.76;462.71
1.7.2020;20.26;90.19;7.08;781.13
1.8.2020;20.08;92.31;5.34;1203.09
1.9.2020;19.71;90.12;9.22;361.3
1.10.2020;18.43;82.69;12.62;180.18
1.11.2020;14.83;76.06;16.95;0.49
1.12.2020;12.21;69.38;17.77;12.23
